family	size	seed	label	status	L	k	E	max_coeff_bits	coeff_bound_bits	dig	legacy_dig96_exact
sparse	20	1	sparse_N20_seed1	ok	4	6	42	18	23	24	1
sparse	20	2	sparse_N20_seed2	ok	6	8	47	19	29	30	1
sparse	20	3	sparse_N20_seed3	ok	3	5	42	17	20	21	1
sparse	20	4	sparse_N20_seed4	ok	3	5	39	16	20	21	1
sparse	20	5	sparse_N20_seed5	ok	3	5	45	17	21	22	1
sparse	20	6	sparse_N20_seed6	ok	3	5	45	18	21	22	1
sparse	20	7	sparse_N20_seed7	ok	3	5	46	18	21	22	1
sparse	20	8	sparse_N20_seed8	ok	3	5	45	17	21	22	1
sparse	20	9	sparse_N20_seed9	ok	3	5	43	17	20	21	1
sparse	20	10	sparse_N20_seed10	ok	3	5	41	17	20	21	1
sparse	20	11	sparse_N20_seed11	ok	3	5	58	19	23	24	1
sparse	20	12	sparse_N20_seed12	ok	4	6	54	20	25	26	1
sparse	20	13	sparse_N20_seed13	ok	5	7	42	17	25	26	1
sparse	20	14	sparse_N20_seed14	ok	5	7	49	19	27	28	1
sparse	20	15	sparse_N20_seed15	ok	3	5	34	16	19	20	1
sparse	20	16	sparse_N20_seed16	ok	3	5	51	18	22	23	1
sparse	20	17	sparse_N20_seed17	ok	3	5	43	17	20	21	1
sparse	20	18	sparse_N20_seed18	ok	3	5	51	18	22	23	1
sparse	20	19	sparse_N20_seed19	ok	4	6	55	20	25	26	1
sparse	20	20	sparse_N20_seed20	ok	5	7	46	19	26	27	1
sparse	20	21	sparse_N20_seed21	ok	4	6	41	17	23	24	1
sparse	20	22	sparse_N20_seed22	ok	3	5	46	18	21	22	1
sparse	20	23	sparse_N20_seed23	ok	3	5	45	17	21	22	1
sparse	20	24	sparse_N20_seed24	ok	3	5	46	18	21	22	1
sparse	20	25	sparse_N20_seed25	ok	3	5	50	18	22	23	1
sparse	20	26	sparse_N20_seed26	ok	3	5	37	16	19	20	1
sparse	20	27	sparse_N20_seed27	ok	3	5	43	17	20	21	1
sparse	20	28	sparse_N20_seed28	ok	4	6	48	19	24	25	1
sparse	20	29	sparse_N20_seed29	ok	3	5	42	17	20	21	1
sparse	20	30	sparse_N20_seed30	ok	4	6	42	17	23	24	1
sparse	20	31	sparse_N20_seed31	ok	3	5	48	18	21	22	1
sparse	20	32	sparse_N20_seed32	ok	3	5	49	18	21	22	1
sparse	20	33	sparse_N20_seed33	ok	6	8	41	17	27	28	1
sparse	20	34	sparse_N20_seed34	ok	4	6	39	17	22	23	1
sparse	20	35	sparse_N20_seed35	ok	3	5	51	18	22	23	1
sparse	20	36	sparse_N20_seed36	ok	3	5	41	17	20	21	1
sparse	20	37	sparse_N20_seed37	ok	3	5	50	18	22	23	1
sparse	20	38	sparse_N20_seed38	ok	5	7	52	19	27	28	1
