family	size	n	L_med	min	q25	median	q75	max	clears_c4
sparse	20	40	3.0	2.3039	3.7631	4.2174	4.6271	6.5657	16
sparse	30	40	4.0	2.6794	4.3007	5.0136	5.689	9.3381	7
sparse	40	40	3.0	3.5865	5.0094	5.8848	6.5587	8.9455	2
sparse	60	40	4.0	3.9342	5.2295	6.1515	7.1972	12.1222	1
sparse	80	39	4.0	4.5784	5.7359	6.4649	7.7613	9.3905	0
sparse	100	24	3.0	6.0937	7.0078	7.7714	8.4981	10.0823	0
dense	20	40	3.0	1.649	3.9239	4.3181	4.5182	5.326	10
dense	30	40	3.0	2.4248	4.5735	5.1817	5.6136	8.1537	6
dense	40	40	3.0	3.3865	4.8098	5.6868	6.4322	6.8798	4
dense	60	39	3.0	4.4345	5.4294	6.3746	7.003	8.6834	0
dense	80	23	3.0	6.1384	6.3203	6.868	7.4082	9.007	0
grid	4	40	6.0	4.1894	4.5313	4.6944	4.799	5.1018	0
grid	5	40	8.0	7.2667	7.6734	7.8865	8.2084	8.6181	0
grid	6	40	10.0	9.1274	9.889	10.1752	10.521	11.0569	0
grid	7	40	12.0	11.1805	11.9142	12.2017	12.616	13.6307	0
grid	8	40	14.0	12.6099	13.2121	13.57	13.8342	15.1083	0
grid	9	40	16.0	13.5621	14.7952	14.9529	15.3458	16.3841	0
grid	10	40	18.0	14.9152	15.6122	16.0917	16.5655	18.0473	0
grid	11	40	20.0	16.1657	16.853	17.1933	17.6823	18.627	0
grid	12	40	22.0	16.983	17.7325	18.1587	18.3863	19.5949	0
mtn_knn	20	40	5.0	2.0711	3.1208	3.9292	4.4324	8.3505	20
mtn_knn	30	40	6.0	2.5798	3.435	4.078	4.66	6.8082	17
mtn_knn	40	40	8.0	2.8729	3.5628	4.0145	4.698	6.5405	20
mtn_knn	60	40	10.5	3.0045	3.7588	4.2327	4.715	6.9507	17
mtn_knn	80	40	13.0	3.1818	4.0568	4.3827	4.8165	5.8533	10
mtn_knn	100	40	15.0	3.1929	4.0923	4.5263	4.7715	5.9511	8
mtn_knn	140	22	16.0	4.2022	4.5404	4.9986	5.4352	6.0904	0
