label,family,size,seed,L,m,d,N_d,term
sparse_N20_seed1,sparse,20,1,4,6,-1,9344,
sparse_N20_seed1,sparse,20,1,4,6,0,2300384,
sparse_N20_seed1,sparse,20,1,4,6,1,69551424,15.6084466683511
sparse_N20_seed1,sparse,20,1,4,6,2,616998912,9.220637974440208
sparse_N20_seed1,sparse,20,1,4,6,3,1993369600,6.654406537431705
sparse_N20_seed1,sparse,20,1,4,6,4,2373658112,5.0474555609372045
sparse_N20_seed1,sparse,20,1,4,6,5,837504000,3.7675657553511126
sparse_N60_seed1,sparse,60,1,5,7,-1,279424,
sparse_N60_seed1,sparse,60,1,5,7,0,261126016,
sparse_N60_seed1,sparse,60,1,5,7,1,34479758208,21.386707185560535
sparse_N60_seed1,sparse,60,1,5,7,2,1474199957248,12.992653135408037
sparse_N60_seed1,sparse,60,1,5,7,3,26357655490560,9.838773647326855
sparse_N60_seed1,sparse,60,1,5,7,4,214162208347136,8.020403246472165
sparse_N60_seed1,sparse,60,1,5,7,5,767596888133632,6.728944456527416
sparse_N60_seed1,sparse,60,1,5,7,6,965101947813888,5.654182389811817
sparse_N60_seed2,sparse,60,2,7,9,-1,14143488,
sparse_N60_seed2,sparse,60,2,7,9,0,14901499648,
sparse_N60_seed2,sparse,60,2,7,9,1,2284711994368,19.99279387089145
sparse_N60_seed2,sparse,60,2,7,9,2,120033369374720,12.216569869271124
sparse_N60_seed2,sparse,60,2,7,9,3,2836031934257152,9.325919378157192
sparse_N60_seed2,sparse,60,2,7,9,4,34031273523200000,7.690742522712694
sparse_N60_seed2,sparse,60,2,7,9,5,218170449377460224,6.5691072580109
sparse_N60_seed2,sparse,60,2,7,9,6,744989872283353088,5.703677607407732
sparse_N60_seed2,sparse,60,2,7,9,7,1258851793093001216,4.972865002891382
sparse_N60_seed2,sparse,60,2,7,9,8,816271018033676288,4.2905607149733145
sparse_N100_seed1,sparse,100,1,3,5,-1,4864,
sparse_N100_seed1,sparse,100,1,3,5,0,5872480,
sparse_N100_seed1,sparse,100,1,3,5,1,1002387904,19.3415213958918
sparse_N100_seed1,sparse,100,1,3,5,2,49479830912,11.8554781441126
sparse_N100_seed1,sparse,100,1,3,5,3,833235120384,8.95842042638394
sparse_N100_seed1,sparse,100,1,3,5,4,4208005994496,7.172499586212107
dense_N20_seed1,dense,20,1,3,5,-1,58176,
dense_N20_seed1,dense,20,1,3,5,0,11267248,
dense_N20_seed1,dense,20,1,3,5,1,258510336,15.033365198776487
dense_N20_seed1,dense,20,1,3,5,2,1636392896,8.540094129444435
dense_N20_seed1,dense,20,1,3,5,3,3312828160,5.954172025573652
dense_N20_seed1,dense,20,1,3,5,4,1848170240,4.3037949662061985
dense_N60_seed1,dense,60,1,4,6,-1,732160,
dense_N60_seed1,dense,60,1,4,6,0,588617952,
dense_N60_seed1,dense,60,1,4,6,1,63166018368,23.04141569862928
dense_N60_seed1,dense,60,1,4,6,2,2106585939456,13.72149663000043
dense_N60_seed1,dense,60,1,4,6,3,27301126587136,10.219429284608706
dense_N60_seed1,dense,60,1,4,6,4,141081573160960,8.179904009251677
dense_N60_seed1,dense,60,1,4,6,5,238109576310784,6.6753013611805025
grid_k4_N16_seed1,grid,4,1,6,8,-1,10752,
grid_k4_N16_seed1,grid,4,1,6,8,0,1122816,
grid_k4_N16_seed1,grid,4,1,6,8,1,34879488,39.03696739806038
grid_k4_N16_seed1,grid,4,1,6,8,2,288978944,23.85382868589507
grid_k4_N16_seed1,grid,4,1,6,8,3,933705728,17.50565280428803
grid_k4_N16_seed1,grid,4,1,6,8,4,1251803136,13.429797445776671
grid_k4_N16_seed1,grid,4,1,6,8,5,718364672,10.288365481788757
grid_k4_N16_seed1,grid,4,1,6,8,6,157384704,7.535973187175795
grid_k4_N16_seed1,grid,4,1,6,8,7,10649600,4.88171770492337
grid_k8_N64_seed1,grid,8,1,14,16,-1,32707313664,
grid_k8_N64_seed1,grid,8,1,14,16,0,26456219713536,
grid_k8_N64_seed1,grid,8,1,14,16,1,8009990395658240,93.4295369920145
grid_k8_N64_seed1,grid,8,1,14,16,2,898746448947970048,58.91010428237817
grid_k8_N64_seed1,grid,8,1,14,16,3,50638179222971482112,46.2171552233514
grid_k8_N64_seed1,grid,8,1,14,16,4,1632175935889173643264,39.1492183386758
grid_k8_N64_seed1,grid,8,1,14,16,5,32549726669974808821760,34.41229525258031
grid_k8_N64_seed1,grid,8,1,14,16,6,421676844416089160941568,30.882839927591515
grid_k8_N64_seed1,grid,8,1,14,16,7,3660599521461182205526016,28.066291698935437
grid_k8_N64_seed1,grid,8,1,14,16,8,21693800911127417536380928,25.70731372064657
grid_k8_N64_seed1,grid,8,1,14,16,9,88529029040239268065181696,23.658347490082164
grid_k8_N64_seed1,grid,8,1,14,16,10,248595043258678892801556480,21.826020761086838
grid_k8_N64_seed1,grid,8,1,14,16,11,474958574319760949249048576,20.145949851212904
grid_k8_N64_seed1,grid,8,1,14,16,12,601602245908743930479902720,18.568900645964263
grid_k8_N64_seed1,grid,8,1,14,16,13,480154599449905281003159552,17.050897695417035
grid_k8_N64_seed1,grid,8,1,14,16,14,217521565316511755531190272,15.540732076648554
grid_k8_N64_seed1,grid,8,1,14,16,15,42563670092830275916529664,13.942736906562953
mtnknn_N20_seed1,mtn_knn,20,1,5,7,-1,321280,
mtnknn_N20_seed1,mtn_knn,20,1,5,7,0,47173056,
mtnknn_N20_seed1,mtn_knn,20,1,5,7,1,1510532736,19.947947189956224
mtnknn_N20_seed1,mtn_knn,20,1,5,7,2,15093251584,11.56695945108045
mtnknn_N20_seed1,mtn_knn,20,1,5,7,3,58422760960,8.33576047058123
mtnknn_N20_seed1,mtn_knn,20,1,5,7,4,93925083136,6.416113869361181
mtnknn_N20_seed1,mtn_knn,20,1,5,7,5,59849897984,5.008137251704601
mtnknn_N20_seed1,mtn_knn,20,1,5,7,6,11888799744,3.800599128595578
mtnknn_N60_seed1,mtn_knn,60,1,11,13,-1,351015665664,
mtnknn_N60_seed1,mtn_knn,60,1,11,13,0,146070497284096,
mtnknn_N60_seed1,mtn_knn,60,1,11,13,1,20465334334021632,28.591468061593506
mtnknn_N60_seed1,mtn_knn,60,1,11,13,2,1315135335792295936,16.74428146386762
mtnknn_N60_seed1,mtn_knn,60,1,11,13,3,45425115363943153664,12.551779091645873
mtnknn_N60_seed1,mtn_knn,60,1,11,13,4,917614112917462056960,10.297775508778074
