family,size,seed,label,status,N,E,s,t,terminal_fallback,L,m,wstar,wmax,lightsum_m,lightsum_m_minus_1,girth,girth_exact,cert_sharp_margin,cert_pure_margin,cert39_margin,rho,gamma,gamma_threshold,gamma_sharp,gamma_sharp_threshold,cycle_cert,cycle_bound,cycle_note,cycle_witness_delta,pure_status,delta_min_pure,delta_both_aux,delta_one_aux_S,delta_one_aux_T,delta_aux_free,argmin_subcase,dfs_nodes,witness_subcase,witness_walk,witness_weights,verdict,verdict_note,censor_note,cycle_wall_s,pure_wall_s,total_wall_s,cycle_rss_mib,pure_rss_mib,peak_rss_mib
sparse,20,1,sparse_N20_seed1,ok,20,42,0,19,0,4,6,1.1047071162611246,0.9628645777702332,0.3894003573805094,0.2712951321154833,0.7332618031650782,1,-0.8334119841456413,-0.8211527988314629,-1.6781713366508484,0.14341413395061292,0.2349946283792292,1.2477344529284486,0.1964648389583514,0.8,OPEN,-0.37144531309604645,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.014920980669558048,,,,,,,one_aux_S,0 17 5 6 15 10,0.601823449 0.276313007 0.154353634 0.0459871814 0.0226177294,WITNESS,pure-path one_aux_S,,0.00010442733764648438,5.91278076171875e-05,0.007698535919189453,35.265625,35.265625,35.265625
sparse,20,2,sparse_N20_seed2,ok,20,47,0,19,0,6,8,0.9533780571073294,0.988982617855072,0.8320573773235083,0.6729060169309378,0.3545418307185173,1,-0.2804720401763916,-0.2802700772881508,-1.1103032976388931,0.08033323335643631,0.6545598866477559,1.5280092670077057,0.6049820232813177,0.8571428571428571,OPEN,-0.2804720401763916,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.048125073313713074,,,,,,,one_aux_S,0 12 2 14 6 18 5 19,0.283130765 0.265226394 0.0117638018 0.150738984 0.044651486 0.0653773695 0.168728366,WITNESS,pure-path one_aux_S,,0.00011730194091796875,0.00013446807861328125,0.012935161590576172,35.375,35.375,35.375
sparse,20,3,sparse_N20_seed3,ok,20,42,0,19,0,3,5,0.5259551480412483,0.9624443650245667,0.4757757857441902,0.34009817987680435,0.8954604715108871,1,-0.18585696816444397,-0.18535824865102768,-1.0126237273216248,0.0910797491530542,0.5427563025281509,1.6979389044205189,0.48497221836794147,0.75,GIRTH,0.3695053234696388,bracket >= 0 and every cycle weighs >= girth,,ok,0.036245279014110565,1.2284474596381187,0.036245279014110565,0.17828574776649475,0.07513424381613731,one_aux_S,112,,,,CERTIFIED,GIRTH,,0.0001709461212158203,0.00015211105346679688,0.01297307014465332,35.65234375,35.65234375,35.65234375
sparse,20,4,sparse_N20_seed4,ok,20,39,0,19,0,3,5,1.4198055565357208,0.9936162829399109,0.8872402757406235,0.6632972806692123,1.0662612617015839,1,-0.7565082758665085,-0.7564602345228195,-1.5261815637350082,0.2381545708192975,0.3749415988646195,1.0198953631499943,0.3503810491598068,0.75,OPEN,-0.35354429483413696,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.08304978162050247,,,,,,,one_aux_S,0 4 15 17 2,0.824909389 0.139224797 0.319735557 0.105772063,WITNESS,pure-path one_aux_S,,0.00011372566223144531,5.984306335449219e-05,0.010100841522216797,35.15234375,35.15234375,35.15234375
sparse,20,5,sparse_N20_seed5,ok,20,45,0,4,1,3,5,0.42801838170271367,0.9810306429862976,0.1656167971668765,0.10518928791861981,0.40288007259368896,1,-0.32282909378409386,-0.3226140830665827,-1.2434322275221348,0.07271576832024468,0.23216310922166145,1.9752175396070064,0.1843191071026487,0.75,OPEN,-0.025138309109024704,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.06408203847240657,,,,,,,one_aux_T,4 14 18 11 13,0.104421206 0.11335589 0.133605078 0.0251083393,WITNESS,pure-path one_aux_T,,9.72747802734375e-05,6.222724914550781e-05,0.00814676284790039,35.640625,35.640625,35.640625
sparse,20,6,sparse_N20_seed6,ok,20,45,0,1,1,3,5,0.8361988589167595,0.9860262274742126,0.5436666645109653,0.3874626196920872,0.46672090515494347,1,-0.4487362392246723,-0.4450523518025875,-1.2785584218800068,0.14134155117062686,0.39009859344839315,1.3075060318199032,0.34752136010507667,0.75,OPEN,-0.369477953761816,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.18456045165657997,,,,,,,one_aux_S,0 13 17 5 11,0.256127417 0.25983882 0.0575701483 0.156204045,WITNESS,pure-path one_aux_S,,0.00011086463928222656,9.393692016601562e-05,0.014012575149536133,35.484375,35.484375,35.484375
sparse,20,7,sparse_N20_seed7,ok,20,46,0,10,1,3,5,0.8624389916658401,0.9600709080696106,0.3144430611282587,0.21334409154951572,0.7103268578648567,1,-0.6490949001163244,-0.6466682534664869,-1.508066838607192,0.14971793305696618,0.21875847277328983,1.267922659351375,0.18552972466269635,0.75,OPEN,-0.15211213380098343,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.12264197319746017,,,,,,,one_aux_S,0 19 16 18 17,0.191252679 0.380584776 0.10109897 0.133721188,WITNESS,pure-path one_aux_S,,0.00014901161193847656,8.630752563476562e-05,0.014043807983398438,35.48828125,35.48828125,35.48828125
sparse,20,8,sparse_N20_seed8,ok,20,45,0,19,0,3,5,0.6121490746736526,0.9611704349517822,0.3002449283376336,0.19397056940943003,0.8526412770152092,1,-0.4181785052642226,-0.40509559493511915,-1.2730745812878013,0.10614646692088511,0.2942860888887558,1.5420944747462362,0.2376511426316038,0.75,GIRTH,0.24049220234155655,bracket >= 0 and every cycle weighs >= girth,,witness,-0.03325891634449363,,,,,,,aux_free,7 15 1 18 8 12,0.106274359 0.273424029 0.0385600664 0.206767768 0.0140022309,WITNESS,pure-path aux_free,,0.00010251998901367188,9.465217590332031e-05,0.007413625717163086,35.76171875,35.76171875,35.76171875
sparse,20,9,sparse_N20_seed9,ok,20,43,0,7,1,3,5,0.8067222386598587,0.9913260340690613,0.4138658605515957,0.2823319844901562,0.22190938517451286,1,-0.5243902541697025,-0.52287233248353,-1.3841824121773243,0.13563015781137347,0.3078129056457774,1.337299149493538,0.2624806633809653,0.75,OPEN,-0.5243902541697025,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.14563678577542305,,,,,,,one_aux_S,0 12 19 17 3,0.263402075 0.349899322 0.0218871497 0.0517938137,WITNESS,pure-path one_aux_S,,5.054473876953125e-05,5.841255187988281e-05,0.008220434188842773,35.4140625,35.4140625,35.4140625
sparse,20,10,sparse_N20_seed10,ok,20,41,0,2,1,3,5,1.031369898468256,0.980786144733429,0.43609708920121193,0.3018540032207966,0.7590667493641376,1,-0.7295158952474594,-0.7148225530982018,-1.576058954000473,0.1752624504343529,0.2536997190914047,1.1705728737226373,0.21950466341108307,0.75,OPEN,-0.27230314910411835,"neither certificate fires -- constructive search, then UNDETERMINED",,witness,-0.3631764017045498,,,,,,,one_aux_S,0 4 17 11 18,0.296703637 0.16658102 0.0724617913 0.264894098,WITNESS,pure-path one_aux_S,,9.465217590332031e-05,5.364418029785156e-05,0.007911920547485352,35.74609375,35.74609375,35.74609375
