c,lam,bk,graph_index,graph_seed,sampler_seed,L,L_contain,n_edges,opt_weight,steps,contain_count,density,mean_active,chance,chance_origL,b_st_resolved
1,0,-2.5,0,19,0,8,10,144,0.548768615816,10000,0,0.253247916667,95.2099,0.0108507264123,0.169187023799,-2.5
1,0,-2.5,0,19,1,8,10,144,0.548768615816,10000,0,0.253825694444,95.7037,0.0111008396783,0.172299756778,-2.5
1,0,-2.5,0,19,2,8,10,144,0.548768615816,10000,0,0.252598611111,95.4807,0.0105757112084,0.165747759451,-2.5
1,0,-2.5,1,23,0,9,11,129,1.8382567222,10000,0,0.278317829457,93.3215,0.00776160105991,0.10020035473,-2.5
1,0,-2.5,1,23,1,9,11,129,1.8382567222,10000,0,0.279062015504,93.7692,0.00799296648985,0.102637612008,-2.5
1,0,-2.5,1,23,2,9,11,129,1.8382567222,10000,0,0.279488372093,93.6339,0.00812832734165,0.104057574084,-2.5
1,0,-2.5,2,52,0,9,11,145,1.44176854519,10000,0,0.255986896552,96.3165,0.00309310802344,0.0472019148461,-2.5
1,0,-2.5,2,52,1,9,11,145,1.44176854519,10000,0,0.25534137931,96.5632,0.00300838351634,0.0461414034844,-2.5
1,0,-2.5,2,52,2,9,11,145,1.44176854519,10000,0,0.254693103448,96.3249,0.00292542547382,0.0450977285403,-2.5
1,0,-2.5,3,83,0,8,10,158,1.58720821142,10000,0,0.230246835443,96.302,0.0041873252775,0.0789858614447,-2.5
1,0,-2.5,3,83,1,8,10,158,1.58720821142,10000,0,0.23112278481,96.3281,0.0043493826433,0.0814220614401,-2.5
1,0,-2.5,3,83,2,8,10,158,1.58720821142,10000,0,0.231398734177,96.7537,0.00440159205334,0.0822030309964,-2.5
1,0,-2.5,4,91,0,8,10,150,0.654524138197,10000,0,0.244784666667,96.275,0.00772399707785,0.128906162759,-2.5
1,0,-2.5,4,91,1,8,10,150,0.654524138197,10000,0,0.245688666667,96.2424,0.00801403499263,0.132764201423,-2.5
1,0,-2.5,4,91,2,8,10,150,0.654524138197,10000,0,0.245708666667,96.7729,0.00802056111483,0.132850686183,-2.5
1,0,-2.5,5,118,0,8,10,124,2.08219689131,10000,0,0.276447580645,90.4321,0.0260692138854,0.341116202486,-2.5
1,0,-2.5,5,118,1,8,10,124,2.08219689131,10000,0,0.279097580645,90.5723,0.0286787830272,0.368170150137,-2.5
1,0,-2.5,5,118,2,8,10,124,2.08219689131,10000,0,0.275377419355,89.9407,0.0250774432982,0.330694221125,-2.5
1,0,-2.5,6,138,0,8,10,143,1.66435845196,10000,0,0.255711888112,95.5073,0.011953888196,0.18281311622,-2.5
1,0,-2.5,6,138,1,8,10,143,1.66435845196,10000,0,0.254774125874,95.1904,0.0115226720656,0.177518067594,-2.5
1,0,-2.5,6,138,2,8,10,143,1.66435845196,10000,0,0.252636363636,95.0667,0.0105915279397,0.165946039897,-2.5
1,0,-2.5,7,151,0,9,11,154,1.20385185885,10000,0,0.242514935065,97.7441,0.00170656715712,0.0290165920931,-2.5
1,0,-2.5,7,151,1,9,11,154,1.20385185885,10000,0,0.241567532468,97.7857,0.00163464780144,0.0280121903214,-2.5
1,0,-2.5,7,151,2,9,11,154,1.20385185885,10000,0,0.241096753247,97.5868,0.00159994473436,0.0275246786646,-2.5
