family,size,seed,L,E,margin_c1,observed_c,predicted_c,abs_err,rel_err
dense,20,1,3,76,3.606201,4.303795,4.022715,0.28108,0.06531
dense,20,2,3,73,3.436535,4.503527,4.085771,0.417757,0.092762
dense,20,3,3,73,3.625574,4.315386,3.872737,0.442649,0.102575
dense,20,4,3,57,2.827128,5.325957,3.954277,1.37168,0.257546
dense,20,5,3,68,3.451225,4.452046,3.830591,0.621455,0.139589
dense,20,6,3,74,3.336,4.899453,4.256074,0.643379,0.131317
dense,20,7,3,73,3.424994,4.515811,4.099538,0.416273,0.092181
dense,20,8,3,76,3.341031,4.760777,4.34199,0.418787,0.087966
dense,20,9,3,64,3.56177,4.237028,3.51483,0.722197,0.170449
dense,20,10,3,71,3.329863,4.694186,4.120164,0.574022,0.122284
dense,20,11,3,84,3.250868,4.934835,4.818509,0.116326,0.023573
dense,20,12,3,81,3.613199,4.313777,4.21889,0.094887,0.021996
dense,20,13,6,65,6.459023,1.970362,3.029086,1.058724,0.537325
dense,20,14,7,75,7.290521,1.649029,3.224595,1.575565,0.95545
dense,20,15,4,65,4.249462,3.643775,3.526848,0.116927,0.03209
dense,20,16,4,72,4.433182,3.539112,3.647542,0.10843,0.030638
dense,20,17,3,70,3.743117,4.077309,3.621451,0.455858,0.111804
dense,20,18,3,75,3.532559,4.516366,4.063207,0.453158,0.100337
dense,20,19,4,79,4.505177,3.603082,3.827458,0.224376,0.062273
dense,20,20,3,82,3.39926,4.523598,4.526164,0.002567,0.000567
dense,20,21,5,71,5.409213,2.72788,3.382619,0.654739,0.240018
dense,20,22,3,71,3.546653,4.412862,3.868318,0.544544,0.123399
dense,20,23,5,70,4.871392,3.114812,3.722394,0.607582,0.195062
dense,20,24,3,71,3.527097,4.426271,3.889766,0.536506,0.121209
dense,20,25,3,81,3.450618,4.493828,4.417669,0.076159,0.016948
dense,20,26,3,78,3.841105,4.017234,3.854924,0.16231,0.040403
dense,20,27,3,69,3.062487,5.010546,4.371966,0.63858,0.127447
dense,20,28,3,64,3.477327,4.608437,3.600184,1.008252,0.218784
dense,20,29,3,78,3.665793,4.272945,4.039281,0.233665,0.054685
dense,20,30,5,69,5.643779,2.59861,3.183473,0.584863,0.225068
dense,20,31,3,69,3.217235,4.931625,4.161676,0.769949,0.156125
dense,20,32,3,77,3.659095,4.449456,4.005886,0.44357,0.099691
dense,20,33,4,72,4.524332,3.442423,3.574056,0.131633,0.038239
dense,20,34,3,72,3.61698,4.320824,3.83783,0.482995,0.111783
dense,20,35,3,77,3.578133,4.274415,4.096528,0.177887,0.041617
dense,20,36,3,73,3.623122,4.308474,3.875358,0.433116,0.100527
dense,20,37,3,85,3.576129,4.470937,4.418525,0.052411,0.011723
dense,20,38,3,80,3.190352,5.00927,4.733022,0.276248,0.055147
dense,20,39,6,77,6.529305,2.163888,3.296601,1.132712,0.523462
dense,20,40,3,79,3.755428,4.163616,3.982106,0.18151,0.043594
dense,30,1,3,116,3.555024,5.409725,5.456416,0.046691,0.008631
dense,30,2,3,119,3.560479,5.315173,5.531004,0.215831,0.040607
dense,30,3,3,112,3.736831,4.945716,5.08233,0.136615,0.027623
dense,30,4,3,98,3.317181,6.286908,5.259682,1.027227,0.163391
dense,30,5,6,113,6.494347,3.148305,3.997509,0.849204,0.269734
dense,30,6,3,111,3.262514,5.631014,5.789422,0.158408,0.028131
dense,30,7,3,119,2.477229,8.153719,7.949617,0.204102,0.025032
dense,30,8,5,111,5.180522,3.929769,4.529621,0.599852,0.152643
dense,30,9,3,112,3.258215,5.85673,5.8289,0.027829,0.004752
dense,30,10,3,114,3.305774,5.884096,5.806969,0.077126,0.013108
dense,30,11,4,126,4.455132,4.579092,5.082456,0.503364,0.109927
dense,30,12,4,122,4.350483,4.585047,5.118941,0.533894,0.116442
dense,30,13,3,111,3.710361,5.106946,5.090629,0.016317,0.003195
dense,30,14,8,110,8.330919,2.42479,3.628377,1.203587,0.496368
dense,30,15,3,94,3.356195,5.721805,5.054924,0.666881,0.116551
dense,30,16,5,113,5.736238,3.524761,4.126807,0.602047,0.170805
