case	c	L	arm	Etilde	predicted	disc_bst0	disc_bstNone	struct_ok
corridor L=3	1.0	3	aux-admitted	0.906766125528386	2.186467748943228	0.0	0.0	True
corridor L=3	1.0	3	all-real	0.906766125528386	2.186467748943228	4.0	0.0	True
corridor L=5	1.0	5	aux-admitted	1.6414128961096146	2.717174207780771	4.440892098500626e-16	0.0	True
corridor L=5	1.0	5	all-real	1.6414128961096146	2.717174207780771	3.9999999999999996	0.0	True
corridor L=8	1.0	8	aux-admitted	2.280816995961117	4.438366008077766	0.0	0.0	True
corridor L=8	1.0	8	all-real	2.280816995961117	4.438366008077766	4.0	0.0	True
corridor L=3	4.0	3	aux-admitted	0.906766125528386	8.745870995772911	0.0	0.0	True
corridor L=3	4.0	3	all-real	0.906766125528386	8.745870995772911	4.0	0.0	True
corridor L=5	4.0	5	aux-admitted	1.6414128961096146	10.868696831123083	0.0	0.0	True
corridor L=5	4.0	5	all-real	1.6414128961096146	10.868696831123083	4.0	0.0	True
corridor L=8	4.0	8	aux-admitted	2.280816995961117	17.753464032311065	0.0	0.0	True
corridor L=8	4.0	8	all-real	2.280816995961117	17.753464032311065	4.0	0.0	True
reference random_graph(60,0.05,seed=19)	1.0	8	aux-admitted	0.2762668238051115	8.447466352389776	0.0	0.0	True
reference random_graph(60,0.05,seed=19)	1.0	8	all-real	0.2762668238051115	8.447466352389776	4.0	0.0	True
reference random_graph(60,0.05,seed=19)	4.0	8	aux-admitted	0.2762668238051115	33.789865409559106	0.0	0.0	True
reference random_graph(60,0.05,seed=19)	4.0	8	all-real	0.2762668238051115	33.789865409559106	4.0	0.0	True
