family,size,seed,label,N,E,L,terminal_fallback,W_star,denominator,attaining_L_Q,attaining_W_Q,rel_denominator,K_returned,k_exhausted,exact,yen_vs_dfs_strata_agree
sparse,30,1,sparse_N30_seed1,30,72,3,1,0.7466295585036278,0.07883008794548611,9,1.2196100861765444,0.1055812578643082,4000,False,False,1/1
sparse,30,2,sparse_N30_seed2,30,70,4,0,1.1927574090659618,0.07505346089601517,10,1.6430781744420528,0.0629243300653977,4000,False,False,2/2
sparse,30,3,sparse_N30_seed3,30,69,7,0,0.35151765355840325,0.049317674711346626,5,0.4501530029810965,0.14029928287272403,4000,False,False,7/7
sparse,30,4,sparse_N30_seed4,30,67,8,0,1.5879782810807228,0.07558869073788325,5,1.8147443532943726,0.047600582223605865,4000,False,False,5/5
sparse,30,5,sparse_N30_seed5,30,73,6,0,0.3951283609494567,0.053163271863013506,4,0.5014549046754837,0.1345468387418891,4000,False,False,4/4
sparse,30,6,sparse_N30_seed6,30,73,4,0,1.3236220628023148,0.04302975535392761,3,1.3666518181562424,0.03250909497747937,4000,False,False,2/2
sparse,30,7,sparse_N30_seed7,30,69,3,1,1.2810858488082886,0.03269469738006592,2,1.3137805461883545,0.025521082299425665,4000,False,False,2/2
sparse,30,8,sparse_N30_seed8,30,70,3,0,1.058359369635582,0.02289789728820324,5,1.1041551642119884,0.021635276206878128,4000,False,False,1/1
sparse,60,1,sparse_N60_seed1,60,144,5,0,1.089878786355257,0.023005587980151176,3,1.1358899623155594,0.021108391380922128,4000,False,False,3/3
sparse,60,2,sparse_N60_seed2,60,137,7,0,0.8589282976463437,0.10211855623250206,13,1.471639635041356,0.11889066469498073,4000,False,False,4/4
sparse,60,3,sparse_N60_seed3,60,147,6,0,0.6144107468426228,0.05985235050320625,3,0.7939677983522415,0.09741423113247893,4000,False,False,4/4
sparse,60,4,sparse_N60_seed4,60,148,3,1,1.3240990936756134,0.11737665086984635,8,1.9109823480248451,0.08864642490164112,4000,False,False,1/1
sparse,60,5,sparse_N60_seed5,60,162,5,0,0.5904226480051875,0.1294650866396048,16,2.01453860104084,0.21927527183623094,4000,False,False,2/2
sparse,60,6,sparse_N60_seed6,60,129,4,0,1.461837112903595,0.03335226699709892,8,1.5952461808919907,0.02281531006614855,4000,False,False,2/2
sparse,60,7,sparse_N60_seed7,60,143,3,0,0.9362127184867859,0.1841668072156608,4,1.1203795257024467,0.19671470337780955,4000,False,False,2/2
sparse,60,8,sparse_N60_seed8,60,130,3,1,2.079218566417694,0.021199824288487434,9,2.2064175121486187,0.010196053763127374,4000,False,False,1/1
sparse,100,1,sparse_N100_seed1,100,236,3,0,0.42881952971220016,0.1627402337534087,10,1.568001165986061,0.37950751418115425,4000,False,False,1/1
sparse,100,2,sparse_N100_seed2,100,235,4,0,1.4575335904955864,0.003937910310924053,8,1.4732852317392826,0.002701762989616655,4000,False,False,2/2
sparse,100,3,sparse_N100_seed3,100,259,6,0,1.5227867849171162,0.08666103519499302,4,1.6961088553071022,0.056909500432596606,4000,False,False,4/4
sparse,100,4,sparse_N100_seed4,100,258,5,0,0.6402861187234521,0.13909610671301684,14,1.8921510791406035,0.2172405470703235,4000,False,False,3/3
sparse,100,5,sparse_N100_seed5,100,245,3,0,0.502236045897007,0.07422506151488051,5,0.650686168926768,0.14778919617828817,4000,False,False,1/1
sparse,100,6,sparse_N100_seed6,100,254,6,0,1.1916458811610937,0.05120556429028511,7,1.2428514454513788,0.04297045380662281,4000,False,False,3/3
sparse,100,7,sparse_N100_seed7,100,240,8,0,0.7277435166761279,0.049824691563844684,13,0.9768669744953513,0.06846463131875412,4000,False,False,6/6
sparse,100,8,sparse_N100_seed8,100,225,4,0,0.9177544713020325,0.18228106424212456,19,3.651970434933901,0.19861637283392322,4000,False,False,1/1
dense,40,1,dense_N40_seed1,40,149,4,0,0.7123223282396793,0.036862842505797744,8,0.8597736982628703,0.051750227452359576,4000,False,False,3/3
dense,40,2,dense_N40_seed2,40,153,3,1,0.6551792994141579,0.10323518088885716,10,1.377825565636158,0.15756783063989818,4000,False,False,2/2
dense,40,3,dense_N40_seed3,40,162,3,1,0.759110514074564,0.023106057196855545,5,0.8053226284682751,0.03043833113683621,4000,False,False,1/1
dense,40,4,dense_N40_seed4,40,149,3,0,0.8137200698256493,0.04777934650580088,6,0.9570581093430519,0.058717178397772914,4000,False,False,2/2
dense,40,5,dense_N40_seed5,40,164,3,1,0.4900278337299824,0.04731458716560155,11,0.8685445310547948,0.09655489731155369,4000,False,False,2/2
dense,40,6,dense_N40_seed6,40,151,4,0,0.6940517760813236,0.07222053594887257,2,0.8384928479790688,0.10405640967686296,4000,False,False,3/3
dense,40,7,dense_N40_seed7,40,144,5,0,0.8812271468341351,0.0016114581376314163,3,0.8844500631093979,0.0018286524007126686,4000,False,False,4/4
dense,40,8,dense_N40_seed8,40,146,4,0,0.4667237475514412,0.012212959816679358,6,0.4911496671847999,0.026167427478785563,4000,False,False,3/3
dense,80,1,dense_N80_seed1,80,315,4,0,0.5538261960027739,0.025920774787664413,6,0.6056677455781028,0.0468030854711224,4000,False,False,3/3
dense,80,2,dense_N80_seed2,80,302,5,0,0.7581133665516973,0.0929642079398036,15,1.6877554459497333,0.12262573388285483,4000,False,False,3/3
dense,80,3,dense_N80_seed3,80,350,6,0,0.6853076717816293,0.013998027890920639,7,0.69930569967255,0.02042590279856236,4000,False,False,4/4
dense,80,4,dense_N80_seed4,80,304,8,0,0.6661219908855855,0.02097200567368418,4,0.7500100135803223,0.03148373114930891,4000,False,False,6/6
dense,80,5,dense_N80_seed5,80,336,5,0,0.7116640463937074,0.0668069155944977,13,1.246119371149689,0.09387423171514094,4000,False,False,4/4
dense,80,6,dense_N80_seed6,80,290,4,0,0.5046107433736324,0.005619277711957693,6,0.5158492987975478,0.011135866181503338,4000,False,False,2/3
dense,80,7,dense_N80_seed7,80,316,4,0,0.5704346038401127,0.06704853835981339,8,0.8386287572793663,0.1175393952408372,4000,False,False,3/3
dense,80,8,dense_N80_seed8,80,291,3,0,0.9420097693800926,0.06525659648468718,11,1.46406254125759,0.06927380013015207,4000,False,False,2/2
grid,5,1,grid_k5_N25_seed1,25,40,8,0,8.72779929637909,1.0141057968139648,10,10.756010890007019,0.11619261194911848,4000,False,False,1/1
grid,5,2,grid_k5_N25_seed2,25,40,8,0,8.7532958984375,1.0297797918319702,10,10.81285548210144,0.11764480531450905,4000,False,False,1/1
grid,5,3,grid_k5_N25_seed3,25,40,8,0,8.40333640575409,1.0816565871238708,18,19.219902276992798,0.1287175158646771,4000,False,False,1/1
grid,5,4,grid_k5_N25_seed4,25,40,8,0,8.854658246040344,1.0911377668380737,14,15.401484847068787,0.1232275415401845,4000,False,False,1/1
grid,5,5,grid_k5_N25_seed5,25,40,8,0,8.644632339477539,1.0830274522304535,12,12.976742148399353,0.12528322891010413,4000,False,False,1/1
grid,5,6,grid_k5_N25_seed6,25,40,8,0,8.543055057525635,1.077207773923874,12,12.85188615322113,0.12609163427724304,4000,False,False,1/1
grid,5,7,grid_k5_N25_seed7,25,40,8,0,8.5012366771698,1.0516703724861145,10,10.604577422142029,0.12370792773131364,4000,False,False,1/1
grid,5,8,grid_k5_N25_seed8,25,40,8,0,8.454012632369995,1.0698983073234558,10,10.593809247016907,0.12655508737080287,4000,False,False,1/1
grid,8,1,grid_k8_N64_seed1,64,112,14,0,15.10965347290039,1.0170538425445557,16,17.143761157989502,0.06731152665868027,4000,False,False,1/1
grid,8,2,grid_k8_N64_seed2,64,112,14,0,14.899380803108215,1.0354123711585999,16,16.970205545425415,0.0694936511014336,4000,False,False,1/1
grid,8,3,grid_k8_N64_seed3,64,112,14,0,14.811324000358582,1.0253750681877136,16,16.86207413673401,0.06922912956079344,4000,False,False,1/1
grid,8,4,grid_k8_N64_seed4,64,112,14,0,15.341521263122559,1.0215739011764526,16,17.384669065475464,0.06658882673076745,4000,False,False,1/1
grid,8,5,grid_k8_N64_seed5,64,112,14,0,15.054395079612732,1.0627079606056213,16,17.179811000823975,0.070591209742116,4000,False,False,1/1
